year,departamento,municipios,jrv,inscritos,total_votos,total_porcentaje,nulos,nulos_porcentaje,votos_validos,validos_porcentaje,uno,psoc,pliun ,prt,fsln,map_ml,psc,puca,pcdn,mur,al,pcn,ccn,pronal,mrs,prn,anc,u,pli,uno_96,plc,ac,aln,otros
2001,Masaya,9,478,164815,,,,,128110,0.7773,,,,,53235,,,,,,,,,,,,,,,,73381,,,1494
2001,Carazo,8,312,99000,,,,,73285,0.7403,,,,,33290,,,,,,,,,,,,,,,,38686,,,1309
2001,Granada,4,339,102435,,,,,72964,0.7123,,,,,29101,,,,,,,,,,,,,,,,42075,,,1788
2001,Rivas,12,332,102353,,,,,71648,0.7,,,,,29924,,,,,,,,,,,,,,,,40747,,,977
2001,Chontales,11,349,105833,,,,,77082,0.7283,,,,,21771,,,,,,,,,,,,,,,,53439,,,1872
2001,Boaco,6,301,88788,,,,,65269,0.7351,,,,,18284,,,,,,,,,,,,,,,,46159,,,826
2001,Matagalpa,14,1006,279928,,,,,211147,0.7543,,,,,83442,,,,,,,,,,,,,,,,125948,,,1757
2001,Jinotega,7,568,167593,,,,,125914,0.7513,,,,,48065,,,,,,,,,,,,,,,,76835,,,1014
2001,RACCN,6,397,111440,,,,,67703,0.6075,,,,,29685,,,,,,,,,,,,,,,,36954,,,1064
2001,RACCS,11,555,163955,,,,,105235,0.6419,,,,,23576,,,,,,,,,,,,,,,,80488,,,1171
2001,Rio San Juan ,5,162,48392,,,,,32386,0.6692,,,,,11340,,,,,,,,,,,,,,,,20646,,,400
2001,Nacional,152,9537,2980641,,,,,2181518,0.7319,,,,,922436,,,,,,,,,,,,,,,,1228412,,,30670
2006,Nueva Segovia,12,434,136655,,,,,85470,62.54,,,,,37143,,,,,,,,,,1257,,,,,,28023,97,18950,
2006,Madriz,9,284,89337,,,,,68003,76.12,,,,,31773,,,,,,,,,,822,,,,,,25831,74,9503,
2006,Esteli,6,491,150017,,,,,102546,68.36,,,,,48012,,,,,,,,,,3614,,,,,,26575,161,24184,
2006,Chinandega,13,886,286380,,,,,174259,60.85,,,,,82985,,,,,,,,,,8143,,,,,,18765,391,63975,
2006,Leon,10,885,275522,,,,,157475,57.16,,,,,72715,,,,,,,,,,10473,,,,,,24860,425,49002,
2006,Managua,9,2665,947337,,,,,605041,63.87,,,,,217060,,,,,,,,,,79967,,,,,,115865,2390,189759,
2006,Masaya,9,587,202968,,,,,136208,67.11,,,,,49365,,,,,,,,,,12183,,,,,,23637,356,50667,
2006,Carazo,8,368,121084,,,,,76031,62.79,,,,,28749,,,,,,,,,,8905,,,,,,10878,208,27291,
2006,Granada,4,392,127585,,,,,81855,64.16,,,,,27464,,,,,,,,,,7048,,,,,,13379,250,33714,
2006,Rivas,10,404,126389,,,,,76514,60.54,,,,,29557,,,,,,,,,,2800,,,,,,10102,152,33903,
2006,Chontales,10,386,117404,,,,,74383,63.36,,,,,19616,,,,,,,,,,1056,,,,,,28051,130,25530,
2006,Boaco,6,358,108387,,,,,57089,52.67,,,,,14978,,,,,,,,,,903,,,,,,26279,156,14773,
2006,Matagalpa,13,991,307970,,,,,186622,60.6,,,,,76162,,,,,,,,,,2898,,,,,,74375,464,32723,
2006,Jinotega,8,648,204172,,,,,133704,65.49,,,,,47089,,,,,,,,,,1721,,,,,,61773,270,22851,
2006,RACCN,8,589,181435,,,,,77088,42.49,,,,,31502,,,,,,,,,,589,,,,,,30640,245,14112,
2006,RACCS,12,694,213551,,,,,103577,48.5,,,,,22719,,,,,,,,,,1624,,,,,,47191,230,31813,
2006,Rio San Juan ,6,212,68948,,,,,39799,57.72,,,,,13527,,,,,,,,,,237,,,,,,20548,96,5391,
2006,Nacional,153,11274,3665141,,,,,2235664,61,,,,,850416,,,,,,,,,,144240,,,,,,586772,6095,648141,
